jefe_hogar,sexo,edad,migracion_venezuela,firma_contrato,trabajo_venezuela,estrato,ingreso_mensual,log_ingreso_mensual,horas_mensual
1,2,40.0,1,2.0,1.0,3,1280.0,7.154615356913663,240.0
1,1,23.0,1,2.0,1.0,5,1600.0,7.3777589082278725,288.0
3,1,18.0,1,2.0,2.0,5,800.0,6.684611727667927,220.0
3,2,32.0,1,1.0,1.0,2,417.0,6.0330862217988015,216.0
1,1,34.0,1,2.0,1.0,3,2000.0,7.600902459542082,208.0
1,1,34.0,1,1.0,1.0,3,1500.0,7.313220387090301,200.0
1,1,28.0,1,2.0,1.0,3,1200.0,7.090076835776092,160.0
1,1,27.0,1,2.0,1.0,3,1400.0,7.24422751560335,240.0
6,2,36.0,1,2.0,2.0,3,1200.0,7.090076835776092,140.0
1,1,25.0,1,2.0,1.0,2,720.0,6.579251212010101,192.0
1,1,29.0,1,2.0,1.0,2,960.0,6.866933284461882,288.0
2,1,36.0,1,1.0,1.0,3,1400.0,7.24422751560335,252.0
7,1,39.0,1,1.0,1.0,3,1200.0,7.090076835776092,288.0
8,1,44.0,1,2.0,1.0,3,1100.0,7.003065458786462,240.0
7,1,25.0,1,2.0,1.0,4,850.0,6.745236349484363,224.0
1,1,42.0,1,2.0,1.0,2,750.0,6.620073206530356,48.0
1,2,21.0,1,2.0,2.0,3,900.0,6.802394763324311,100.0
1,1,32.0,1,2.0,1.0,2,930.0,6.835184586147301,120.0
1,1,32.0,1,2.0,1.0,4,3000.0,8.006367567650246,240.0
6,1,48.0,1,1.0,2.0,4,1400.0,7.24422751560335,256.0
8,2,18.0,1,2.0,2.0,4,840.0,6.733401891837359,96.0
1,1,22.0,1,2.0,2.0,4,1600.0,7.3777589082278725,240.0
1,2,33.0,1,2.0,1.0,2,400.0,5.991464547107982,72.0
1,1,26.0,1,2.0,1.0,3,2000.0,7.600902459542082,216.0
1,1,35.0,1,2.0,1.0,4,520.0,6.253828811575473,144.0
1,2,23.0,1,2.0,2.0,3,720.0,6.579251212010101,336.0
1,1,24.0,1,2.0,1.0,2,480.0,6.173786103901937,192.0
1,1,54.0,1,1.0,1.0,2,2300.0,7.7406644019172415,180.0
1,2,23.0,1,2.0,1.0,2,1000.0,6.907755278982137,192.0
2,1,19.0,1,2.0,2.0,2,760.0,6.633318433280377,288.0
1,1,58.0,1,2.0,2.0,2,280.0,5.634789603169249,192.0
1,1,26.0,1,2.0,2.0,3,1280.0,7.154615356913663,200.0
2,1,25.0,1,2.0,1.0,2,1600.0,7.3777589082278725,192.0
1,2,33.0,1,2.0,1.0,4,1290.0,7.162397497355718,96.0
3,2,20.0,1,2.0,2.0,3,640.0,6.461468176353717,200.0
1,1,22.0,1,2.0,1.0,3,1800.0,7.495541943884256,240.0
1,1,30.0,1,2.0,1.0,3,1600.0,7.3777589082278725,264.0
8,2,20.0,1,2.0,2.0,3,432.0,6.068425588244111,224.0
1,1,23.0,1,2.0,2.0,2,1600.0,7.3777589082278725,280.0
7,2,22.0,1,2.0,1.0,2,750.0,6.620073206530356,144.0
8,1,46.0,1,2.0,2.0,2,1500.0,7.313220387090301,216.0
8,1,51.0,1,2.0,2.0,2,1500.0,7.313220387090301,216.0
2,1,22.0,1,2.0,1.0,3,1440.0,7.272398392570047,208.0
1,1,27.0,1,1.0,1.0,3,2880.0,7.965545573129992,360.0
2,1,28.0,1,1.0,1.0,3,3200.0,8.070906088787819,204.0
1,1,24.0,1,2.0,1.0,3,1440.0,7.272398392570047,192.0
2,2,41.0,1,2.0,1.0,2,1800.0,7.495541943884256,8.0
6,2,53.0,1,2.0,1.0,1,600.0,6.396929655216146,40.0
3,1,18.0,1,2.0,2.0,3,1800.0,7.495541943884256,40.0
1,2,33.0,1,1.0,1.0,2,800.0,6.684611727667927,172.0
